"date","individual","time","pos_beh","context","substrate","hab_type","sun","therm_t","t_lo","t_hi"
2018-07-14,"LX",18:55:00,"Abp","Fo","T","WD",25,31.8,27.1,31.8
2018-07-14,"LX",19:00:00,"Abp","Fo","T","WD",25,NA,NA,NA
2018-07-14,"LT",19:00:00,"Abp","Fo","T","WD",25,32,27,32.9
2018-07-16,"JM",06:40:00,"Abp","Fo","T","WD",0,30,24.8,32
2018-07-16,"JM",06:42:00,"Abp","Fo","T","WD",0,31.5,25.1,33.5
2018-07-16,"JM",08:14:00,"Abp","Fo","T","WD",0,31.2,24.9,30.4
2018-07-16,"JM",08:15:00,"Abp","Fo","T","WD",0,32,24.8,32
2018-07-16,"JM",08:16:00,"Abp","Fo","T","WD",0,31.6,24.5,31.9
2018-07-16,"JM",08:23:00,"Abp","Fo","T","WD",0,32.8,25.3,33.1
2018-07-16,"JM",08:55:00,"Abp","Fo","T","WD",50,32.8,25.7,32.9
2018-07-16,"JM",09:07:00,"Abp","Fo","T","WD",25,33.9,25.3,33.5
2018-07-16,"JM",11:47:00,"Abp","Tv","A","WD",25,32.3,26.7,34.9
2018-07-16,"JM",12:45:00,"Abp","Fo","T","WD",25,34.5,28,34.3
2018-07-16,"JM",14:43:00,"Abp","Fo","A","WD",75,36,28.9,35.7
2018-07-16,"JM",14:44:00,"Abp","Fo","A","WD",75,37,28.8,36.8
2018-07-16,"JM",15:19:00,"Abp","Fo","A","WD",75,37.3,29.7,38.1
2018-07-16,"JM",16:22:00,"Abp","Fo","T","WD",50,35.2,28,35.4
2018-07-16,"JM",16:22:00,"Abp","Fo","T","WD",50,35.7,28.3,35.4
2018-07-16,"JM",16:30:00,"Abp","Fo","T","WD",50,35.5,28.9,35.2
2018-06-06,"BN",10:10:00,"BpS","So","T","WD",25,34.7,28.4,36.3
2018-06-17,"SI",17:43:00,"BpS","So","T","WD",50,34.3,30.2,35.8
2018-06-19,"DF",17:33:00,"BpS","Tv","T","WD",25,39.1,31.2,40.3
2018-06-19,"KL",17:35:00,"BpS","Fo","T","WD",25,32.5,27.8,33.4
2018-06-19,"KL",17:36:00,"BpS","So","T","WD",25,36.2,29.7,36.5
2018-06-21,"LP",11:40:00,"BpS","Tv","T","WD",0,30.5,26.3,32.4
2018-06-26,"DW",10:21:00,"BpS","So","T","WD",25,34.3,26.2,33.2
2018-06-28,"SI",16:10:00,"BpS","Fo","T","WD",50,34.9,28.8,46.6
2018-06-28,"SI",16:12:00,"BpS","Fo","T","WD",25,35.7,27,37.9
2018-07-08,"DW",06:53:00,"BpS","Tv","T","WD",25,29.5,22.3,30.3
2018-07-08,"DW",06:53:00,"BpS","Tv","T","WD",25,29.6,22.3,30.3
2018-07-08,"DW",06:53:00,"BpS","Tv","T","WD",25,28.1,22.2,30.3
2018-07-08,"DW",11:34:00,"BpS","Tv","T","WD",25,32.1,27.1,36.7
2018-07-10,"LT",10:51:00,"BpS","Tv","T","WD",75,34,26.6,37.5
2018-07-10,"LT",10:51:00,"BpS","Tv","T","WD",75,34.3,26.9,38.5
2018-07-10,"LT",10:51:00,"BpS","Tv","T","WD",75,34.9,26.9,38.3
2018-07-12,"LX",10:40:00,"BpS","Tv","T","WD",75,35.8,27.1,36.4
2018-07-14,"LX",17:00:00,"BpS","Fo","T","WD",50,34.4,26.1,36.2
2018-07-14,"LX",17:09:00,"BpS","Fo","T","WD",75,39.4,30.2,39.6
2018-06-12,"BN",10:59:00,"BpW","Tv","T","WD",50,38.4,29.9,50.7
2018-06-14,"KL",06:50:00,"BpW","So","T","GL",0,NA,NA,NA
2018-06-17,"SI",06:54:00,"BpW","So","T","WD",0,34.9,25.3,33.3
2018-06-17,"SI",16:39:00,"BpW","Fo","T","WD",75,36.4,32.8,40
2018-06-21,"JM",06:30:00,"BpW","So","T","WD",0,32.5,25.3,31.4
2018-06-21,"JM",06:32:00,"BpW","So","T","GL",0,29.7,22.1,28.5
2018-06-21,"LP",14:40:00,"BpW","So","T","WD",0,34.8,28.4,34.2
2018-06-26,"DW",08:50:00,"BpW","So","T","WD",25,32,23.9,32.8
2018-06-28,"JM",07:42:00,"BpW","So","T","WD",25,28.1,22.3,32
2018-06-28,"JM",07:43:00,"BpW","So","T","WD",25,29,22,31
2018-06-28,"JM",07:46:00,"BpW","So","T","WD",25,28.7,22.4,32.3
2018-06-28,"JM",07:47:00,"BpW","So","T","WD",25,32.5,23.8,33
2018-06-28,"JM",08:01:00,"BpW","So","T","WD",25,30,22.9,31.3
2018-06-28,"JM",15:13:00,"BpW","Tv","T","WD",75,36.2,25.7,38.9
2018-06-28,"JM",16:20:00,"BpW","Fo","T","WD",50,NA,NA,NA
2018-07-01,"JM",15:23:00,"BpW","So","T","GL",100,38.7,27.9,52.2
2018-07-03,"JM",11:14:00,"BpW","So","T","WD",50,31.9,20.4,39.2
2018-07-03,"BO",11:24:00,"BpW","So","T","WD",25,35.1,24.1,35.1
2018-07-03,"JM",12:50:00,"BpW","So","T","WD",25,34.8,24.5,35.1
2018-07-03,"JM",12:51:00,"BpW","So","T","WD",25,34.8,25.3,36.7
2018-07-08,"MI",17:33:00,"BpW","So","T","WD",25,34.2,28.5,34.8
2018-07-08,"MI",17:34:00,"BpW","So","T","WD",25,34.3,28.1,35.8
2018-07-10,"LT",08:45:00,"BpW","So","T","WD",25,30.5,24.5,32.7
2018-07-16,"JM",16:28:00,"BpW","Fo","T","WD",25,34,27.8,34.1
